zip,lat,lon
70512,30.41333,-91.92337
70513,29.90272,-91.90106
70514,29.8452,-91.55301
70515,30.44843,-92.57154
70516,30.3674,-92.30289
70517,30.28421,-91.79615
70518,30.13503,-91.92922
70519,30.08178,-91.90705
70520,30.33265,-92.03619
70522,29.74949,-91.43287
70523,29.87383,-91.52956
70524,30.55737,-92.31859
70525,30.40765,-92.21761
70526,30.21051,-92.37951
70528,29.89766,-91.96692
70529,30.19593,-92.16327
70531,30.23101,-92.49678
70532,30.4705,-92.6993
70533,29.90439,-92.03536
70534,30.16564,-92.45499
70535,30.47999,-92.42367
70537,30.25747,-92.56642
70538,29.74051,-91.54092
70541,30.42062,-92.0426
70542,30.00442,-92.5886
70543,30.33532,-92.5014
70544,29.9059,-91.6575
70546,30.26756,-92.66747
70548,29.79733,-92.41875
70549,30.04988,-92.83139
70550,30.5157,-92.18966
70551,30.46675,-91.98028
70552,30.0617,-91.66641
70554,30.63633,-92.48885
70555,30.08188,-92.14123
70556,30.19072,-92.58325
70558,30.10042,-92.07573
70559,30.12876,-92.50903
70560,29.93965,-91.8642
70563,30.02454,-91.73053
70570,30.5315,-92.10852
70575,29.94892,-92.15808
70576,30.78097,-92.41826
70577,30.54848,-91.92018
70578,30.2291,-92.26261
70580,30.67551,-92.4284
70581,30.25496,-92.73588
70582,30.15961,-91.7854
70583,30.25846,-92.12204
70584,30.38856,-92.10193
70585,30.87832,-92.4077
70586,30.74504,-92.34151
70589,30.68584,-92.04098
70591,30.25604,-92.8397
70592,30.08024,-92.01338
70601,30.22627,-93.21525
70605,30.13048,-93.27418
70607,30.04982,-93.20606
70609,30.17907,-93.21482
70611,30.34594,-93.20156
70615,30.25609,-93.12346
70629,30.23107,-93.21864
70630,30.02723,-93.04966
70631,29.86692,-93.55404
70632,29.86747,-92.87987
70633,30.42762,-93.3925
70634,30.80142,-93.24309
70637,30.70508,-92.97207
70638,30.84948,-92.78436
70639,30.98235,-93.49793
70640,30.36587,-92.91652
70643,29.73649,-92.7939
70644,30.79078,-92.94924
70645,29.96154,-93.40854
70646,30.10767,-92.92938
70647,30.24752,-93.01605
70648,30.50568,-92.88387
70650,30.23376,-92.92067
70651,30.54333,-92.95127
70652,30.60547,-93.24646
70653,30.66744,-93.55994
70654,30.69212,-92.88075
70655,30.63022,-92.70234
70656,30.91647,-92.94272
70657,30.5004,-93.14279
70658,30.52324,-93.03297
70659,30.92161,-93.284
70660,30.575,-93.44478
70661,30.36683,-93.64833
70662,30.80072,-92.99834
70663,30.2772,-93.39086
70665,30.12756,-93.44555
70668,30.17678,-93.60488
70669,30.24216,-93.27731
70706,30.61453,-90.90086
70710,30.3559,-91.26773
70711,30.53065,-90.60229
70712,30.96574,-91.58573
70714,30.58634,-91.12812
70715,30.81204,-91.66262
70719,30.37734,-91.29077
70721,30.21639,-91.09301
70722,30.84337,-90.93244
